 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -2.24525798e-11  1.45367422e-13  1.45367422e-01  3.24629762e+01  7.84221246e+01 -4.94102407e-01  2.56755095e+03 
 1.00000000e-02  9.99999997e-03  2.01115740e-13  2.01115740e-01  3.24601649e+01  7.84159399e+01 -4.84102407e-01  3.54363664e+03 
 2.00000000e-02  2.00000000e-02  2.78235015e-13  2.78235015e-01  3.24568597e+01  7.84085644e+01 -4.74102407e-01  4.88657142e+03 
 3.00000000e-02  2.99999999e-02  3.84912419e-13  3.84912419e-01  3.24529740e+01  7.83997903e+01 -4.64102407e-01  6.73232520e+03 
 4.00000000e-02  3.99999999e-02  5.32468287e-13  5.32468287e-01  3.24484064e+01  7.83893738e+01 -4.54102407e-01  9.26642421e+03 
 5.00000000e-02  4.99999999e-02  7.36553065e-13  7.36553065e-01  3.24430380e+01  7.83770291e+01 -4.44102407e-01  1.27416540e+04 
 6.00000000e-02  5.99999998e-02  1.01880023e-12  1.01880023e+00  3.24367291e+01  7.83624215e+01 -4.34102407e-01  1.75019396e+04 
 7.00000000e-02  6.99999998e-02  1.40910803e-12  1.40910803e+00  3.24293161e+01  7.83451594e+01 -4.24102407e-01  2.40144998e+04 
 8.00000000e-02  7.99999997e-02  1.94878809e-12  1.94878809e+00  3.24206075e+01  7.83247848e+01 -4.14102407e-01  3.29130641e+04 
 9.00000000e-02  8.99999996e-02  2.69490778e-12  2.69490778e+00  3.24103791e+01  7.83007627e+01 -4.04102407e-01  4.50558500e+04 
 1.00000000e-01  9.99999994e-02  3.72627592e-12  3.72627592e+00  3.23983687e+01  7.82724689e+01 -3.94102408e-01  6.16031915e+04 
 1.10000000e-01  1.09999999e-01  5.15168780e-12  5.15168780e+00  3.23842701e+01  7.82391764e+01 -3.84102408e-01  8.41212778e+04 
 1.20000000e-01  1.19999999e-01  7.12127341e-12  7.12127341e+00  3.23677262e+01  7.82000397e+01 -3.74102408e-01  1.14720496e+05 
 1.30000000e-01  1.29999998e-01  9.84210245e-12  9.84210245e+00  3.23483207e+01  7.81540775e+01 -3.64102409e-01  1.56239531e+05 
 1.40000000e-01  1.39999998e-01  1.35996192e-11  1.35996192e+01  3.23255697e+01  7.81001540e+01 -3.54102409e-01  2.12489789e+05 
 1.50000000e-01  1.49999997e-01  1.87870476e-11  1.87870476e+01  3.22989118e+01  7.80369580e+01 -3.44102410e-01  2.88579122e+05 
 1.60000000e-01  1.59999996e-01  2.59456708e-11  2.59456708e+01  3.22676965e+01  7.79629815e+01 -3.34102412e-01  3.91339422e+05 
 1.70000000e-01  1.69999994e-01  3.58199077e-11  3.58199077e+01  3.22311734e+01  7.78764971e+01 -3.24102414e-01  5.29889726e+05 
