 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -1.64263942e-10  1.06351368e-12  1.06351368e+00  2.75629429e+01  1.65568702e+01 -5.82299693e-01  9.97285663e+04 
 1.00000000e-02  9.99999979e-03  1.40101996e-12  1.40101996e+00  2.75614836e+01  1.65615318e+01 -5.72299693e-01  1.31494263e+05 
 2.00000000e-02  1.99999997e-02  1.84560506e-12  1.84560506e+00  2.75598094e+01  1.65661787e+01 -5.62299693e-01  1.73296501e+05 
 3.00000000e-02  2.99999996e-02  2.43122654e-12  2.43122654e+00  2.75578886e+01  1.65708082e+01 -5.52299693e-01  2.28275262e+05 
 4.00000000e-02  3.99999995e-02  3.20260325e-12  3.20260325e+00  2.75556851e+01  1.65754176e+01 -5.42299694e-01  3.00541104e+05 
 5.00000000e-02  4.99999993e-02  4.21862181e-12  4.21862181e+00  2.75531575e+01  1.65800033e+01 -5.32299694e-01  3.95470786e+05 
 6.00000000e-02  5.99999991e-02  5.55681939e-12  5.55681939e+00  2.75502582e+01  1.65845615e+01 -5.22299694e-01  5.20091333e+05 
 7.00000000e-02  6.99999989e-02  7.31928188e-12  7.31928188e+00  2.75469331e+01  1.65890878e+01 -5.12299694e-01  6.83578427e+05 
 8.00000000e-02  7.99999985e-02  9.64040294e-12  9.64040294e+00  2.75431199e+01  1.65935770e+01 -5.02299695e-01  8.97902430e+05 
 9.00000000e-02  8.99999980e-02  1.26970886e-11  1.26970886e+01  2.75387477e+01  1.65980234e+01 -4.92299695e-01  1.17866471e+06 
 1.00000000e-01  9.99999974e-02  1.67221751e-11  1.67221751e+01  2.75337350e+01  1.66024203e+01 -4.82299696e-01  1.54617904e+06 
 1.10000000e-01  1.09999997e-01  2.20220656e-11  2.20220656e+01  2.75279891e+01  1.66067601e+01 -4.72299697e-01  2.02686798e+06 
 1.20000000e-01  1.19999996e-01  2.89999065e-11  2.89999065e+01  2.75214039e+01  1.66110342e+01 -4.62299698e-01  2.65506381e+06 
 1.30000000e-01  1.29999994e-01  3.81860292e-11  3.81860292e+01  2.75138586e+01  1.66152326e+01 -4.52299700e-01  3.47532769e+06 
 1.40000000e-01  1.39999992e-01  5.02779193e-11  5.02779193e+01  2.75052151e+01  1.66193441e+01 -4.42299702e-01  4.54543235e+06 
 1.50000000e-01  1.49999990e-01  6.61926672e-11  6.61926672e+01  2.74953166e+01  1.66233558e+01 -4.32299705e-01  5.94019211e+06 
 1.60000000e-01  1.59999987e-01  8.71357593e-11  8.71357593e+01  2.74839843e+01  1.66272530e+01 -4.22299709e-01  7.75637363e+06 
 1.70000000e-01  1.69999982e-01  1.14691241e-10  1.14691241e+02  2.74710154e+01  1.66310193e+01 -4.12299715e-01  1.01189821e+07 
