 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -2.62069472e-11  1.69674772e-13  1.69674772e-01  2.78217623e+01  7.70251609e+01 -5.95566557e-01  7.99727737e+03 
 1.00000000e-02  9.99999997e-03  2.24100844e-13  2.24100844e-01  2.78207444e+01  7.70391791e+01 -5.85566557e-01  1.05781540e+04 
 2.00000000e-02  2.00000000e-02  2.95981774e-13  2.95981774e-01  2.78195749e+01  7.70527866e+01 -5.75566557e-01  1.39851404e+04 
 3.00000000e-02  2.99999999e-02  3.90913795e-13  3.90913795e-01  2.78182312e+01  7.70659210e+01 -5.65566557e-01  1.84800573e+04 
 4.00000000e-02  3.99999999e-02  5.16286495e-13  5.16286495e-01  2.78166875e+01  7.70785111e+01 -5.55566557e-01  2.44067098e+04 
 5.00000000e-02  4.99999999e-02  6.81857060e-13  6.81857060e-01  2.78149140e+01  7.70904747e+01 -5.45566557e-01  3.22161873e+04 
 6.00000000e-02  5.99999999e-02  9.00508168e-13  9.00508168e-01  2.78128768e+01  7.71017178e+01 -5.35566557e-01  4.24998315e+04 
 7.00000000e-02  6.99999998e-02  1.18924814e-12  1.18924814e+00  2.78105367e+01  7.71121324e+01 -5.25566558e-01  5.60321527e+04 
 8.00000000e-02  7.99999998e-02  1.57053061e-12  1.57053061e+00  2.78078489e+01  7.71215950e+01 -5.15566558e-01  7.38266287e+04 
 9.00000000e-02  8.99999997e-02  2.07399549e-12  2.07399549e+00  2.78047620e+01  7.71299636e+01 -5.05566558e-01  9.72081685e+04 
 1.00000000e-01  9.99999996e-02  2.73876540e-12  2.73876540e+00  2.78012171e+01  7.71370758e+01 -4.95566558e-01  1.27907103e+05 
 1.10000000e-01  1.09999999e-01  3.61647400e-12  3.61647400e+00  2.77971465e+01  7.71427457e+01 -4.85566558e-01  1.68180948e+05 
 1.20000000e-01  1.19999999e-01  4.77525869e-12  4.77525869e+00  2.77924731e+01  7.71467604e+01 -4.75566558e-01  2.20971943e+05 
 1.30000000e-01  1.29999999e-01  6.30502328e-12  6.30502328e+00  2.77871081e+01  7.71488767e+01 -4.65566558e-01  2.90110617e+05 
 1.40000000e-01  1.39999999e-01  8.32437243e-12  8.32437243e+00  2.77809504e+01  7.71488165e+01 -4.55566559e-01  3.80578486e+05 
 1.50000000e-01  1.49999998e-01  1.09897456e-11  1.09897456e+01  2.77738840e+01  7.71462626e+01 -4.45566559e-01  4.98846594e+05 
 1.60000000e-01  1.59999998e-01  1.45074430e-11  1.45074430e+01  2.77657767e+01  7.71408533e+01 -4.35566560e-01  6.53311203e+05 
 1.70000000e-01  1.69999997e-01  1.91494527e-11  1.91494527e+01  2.77564773e+01  7.71321767e+01 -4.25566561e-01  8.54853719e+05 
 1.80000000e-01  1.79999996e-01  2.52742672e-11  2.52742672e+01  2.77458134e+01  7.71197646e+01 -4.15566562e-01  1.11755923e+06 
