 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -7.55297262e-10  4.89011138e-12  4.89011138e+00  2.15811752e+01  2.13810769e+01 -6.01522691e-01  3.29464272e+05 
 1.00000000e-02  9.99999908e-03  6.06793297e-12  6.06793297e+00  2.15793804e+01  2.13861577e+01 -5.91522692e-01  4.08566512e+05 
 2.00000000e-02  1.99999988e-02  7.52929943e-12  7.52929943e+00  2.15773824e+01  2.13911771e+01 -5.81522692e-01  5.06458638e+05 
 3.00000000e-02  2.99999986e-02  9.34241603e-12  9.34241603e+00  2.15751584e+01  2.13961280e+01 -5.71522692e-01  6.27547862e+05 
 4.00000000e-02  3.99999982e-02  1.15918737e-11  1.15918737e+01  2.15726831e+01  2.14010023e+01 -5.61522693e-01  7.77259797e+05 
 5.00000000e-02  4.99999978e-02  1.43825779e-11  1.43825779e+01  2.15699283e+01  2.14057911e+01 -5.51522693e-01  9.62269702e+05 
 6.00000000e-02  5.99999972e-02  1.78446156e-11  1.78446156e+01  2.15668627e+01  2.14104845e+01 -5.41522694e-01  1.19078519e+06 
 7.00000000e-02  6.99999966e-02  2.21392859e-11  2.21392859e+01  2.15634518e+01  2.14150716e+01 -5.31522695e-01  1.47289158e+06 
 8.00000000e-02  7.99999958e-02  2.74665673e-11  2.74665673e+01  2.15596571e+01  2.14195403e+01 -5.21522696e-01  1.82097340e+06 
 9.00000000e-02  8.99999947e-02  3.40743649e-11  3.40743649e+01  2.15554360e+01  2.14238772e+01 -5.11522697e-01  2.25022858e+06 
 1.00000000e-01  9.99999935e-02  4.22699574e-11  4.22699574e+01  2.15507413e+01  2.14280673e+01 -5.01522698e-01  2.77929496e+06 
 1.10000000e-01  1.09999992e-01  5.24341625e-11  5.24341625e+01  2.15455210e+01  2.14320944e+01 -4.91522700e-01  3.43101326e+06 
 1.20000000e-01  1.19999990e-01  6.50388629e-11  6.50388629e+01  2.15397172e+01  2.14359403e+01 -4.81522703e-01  4.23335535e+06 
 1.30000000e-01  1.29999988e-01  8.06686801e-11  8.06686801e+01  2.15332661e+01  2.14395850e+01 -4.71522706e-01  5.22055262e+06 
 1.40000000e-01  1.39999985e-01  1.00047769e-10  1.00047769e+02  2.15260975e+01  2.14430067e+01 -4.61522709e-01  6.43446635e+06 
 1.50000000e-01  1.49999981e-01  1.24072926e-10  1.24072926e+02  2.15181335e+01  2.14461811e+01 -4.51522714e-01  7.92625061e+06 
 1.60000000e-01  1.59999976e-01  1.53854486e-10  1.53854486e+02  2.15092886e+01  2.14490818e+01 -4.41522720e-01  9.75836792e+06 
 1.70000000e-01  1.69999971e-01  1.90766800e-10  1.90766800e+02  2.14994688e+01  2.14516798e+01 -4.31522727e-01  1.20070302e+07 
 1.80000000e-01  1.79999963e-01  2.36510519e-10  2.36510519e+02  2.14885705e+01  2.14539433e+01 -4.21522735e-01  1.47651516e+07 
