 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -6.36795552e-11  4.12288158e-13  4.12288158e-01  2.96012750e+01  7.59553618e+01 -4.94085378e-01  6.46742528e+03 
 1.00000000e-02  9.99999992e-03  5.54306369e-13  5.54306369e-01  2.95976415e+01  7.59465957e+01 -4.84085378e-01  8.66470938e+03 
 2.00000000e-02  1.99999999e-02  7.45215490e-13  7.45215490e-01  2.95934312e+01  7.59363556e+01 -4.74085378e-01  1.15986883e+04 
 3.00000000e-02  2.99999998e-02  1.00183034e-12  1.00183034e+00  2.95885531e+01  7.59244100e+01 -4.64085378e-01  1.55124742e+04 
 4.00000000e-02  3.99999998e-02  1.34673969e-12  1.34673969e+00  2.95829020e+01  7.59104918e+01 -4.54085378e-01  2.07279139e+04 
 5.00000000e-02  4.99999997e-02  1.81028396e-12  1.81028396e+00  2.95763564e+01  7.58942930e+01 -4.44085378e-01  2.76705338e+04 
 6.00000000e-02  5.99999996e-02  2.43320740e-12  2.43320740e+00  2.95687760e+01  7.58754588e+01 -4.34085379e-01  3.69021897e+04 
 7.00000000e-02  6.99999995e-02  3.27021341e-12  3.27021341e+00  2.95599991e+01  7.58535806e+01 -4.24085379e-01  4.91637341e+04 
 8.00000000e-02  7.99999993e-02  4.39472812e-12  4.39472812e+00  2.95498392e+01  7.58281889e+01 -4.14085379e-01  6.54306834e+04 
 9.00000000e-02  8.99999991e-02  5.90527897e-12  5.90527897e+00  2.95380814e+01  7.57987449e+01 -4.04085379e-01  8.69857235e+04 
 1.00000000e-01  9.99999988e-02  7.93403023e-12  7.93403023e+00  2.95244789e+01  7.57646310e+01 -3.94085380e-01  1.15512986e+05 
 1.10000000e-01  1.09999998e-01  1.06581958e-11  1.06581958e+01  2.95087479e+01  7.57251407e+01 -3.84085380e-01  1.53220409e+05 
 1.20000000e-01  1.19999998e-01  1.43152854e-11  1.43152854e+01  2.94905628e+01  7.56794680e+01 -3.74085381e-01  2.02998246e+05 
 1.30000000e-01  1.29999997e-01  1.92234511e-11  1.92234511e+01  2.94695510e+01  7.56266956e+01 -3.64085382e-01  2.68623983e+05 
 1.40000000e-01  1.39999996e-01  2.58086059e-11  2.58086059e+01  2.94452867e+01  7.55657829e+01 -3.54085383e-01  3.55026684e+05 
 1.50000000e-01  1.49999995e-01  3.46405215e-11  3.46405215e+01  2.94172846e+01  7.54955538e+01 -3.44085385e-01  4.68627155e+05 
 1.60000000e-01  1.59999993e-01  4.64807979e-11  4.64807979e+01  2.93849927e+01  7.54146849e+01 -3.34085387e-01  6.17774545e+05 
 1.70000000e-01  1.69999990e-01  6.23464952e-11  6.23464952e+01  2.93477860e+01  7.53216955e+01 -3.24085390e-01  8.13305026e+05 
 1.80000000e-01  1.79999987e-01  8.35943608e-11  8.35943608e+01  2.93049588e+01  7.52149390e+01 -3.14085394e-01  1.06925434e+06 
 1.90000000e-01  1.89999983e-01  1.12032050e-10  1.12032050e+02  2.92557187e+01  7.50925986e+01 -3.04085399e-01  1.40376308e+06 
 2.00000000e-01  1.99999977e-01  1.50064581e-10  1.50064581e+02  2.91991798e+01  7.49526894e+01 -2.94085406e-01  1.84022200e+06 
 2.10000000e-01  2.09999969e-01  2.00886584e-10  2.00886584e+02  2.91343588e+01  7.47930675e+01 -2.84085416e-01  2.40871365e+06 
 2.20000000e-01  2.19999958e-01  2.68733732e-10  2.68733732e+02  2.90601722e+01  7.46114525e+01 -2.74085428e-01  3.14781699e+06 
 2.30000000e-01  2.29999945e-01  3.59210259e-10  3.59210259e+02  2.89754373e+01  7.44054646e+01 -2.64085445e-01  4.10685176e+06 
