 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -1.60911383e-10  1.04180781e-12  1.04180781e+00  2.52360461e+01  1.90231033e+01 -6.06636717e-01  8.60627620e+04 
 1.00000000e-02  9.99999980e-03  1.34086174e-12  1.34086174e+00  2.52349344e+01  1.90281840e+01 -5.96636718e-01  1.10866892e+05 
 2.00000000e-02  1.99999997e-02  1.72573953e-12  1.72573953e+00  2.52336738e+01  1.90332422e+01 -5.86636718e-01  1.42761547e+05 
 3.00000000e-02  2.99999997e-02  2.22106189e-12  2.22106189e+00  2.52322441e+01  1.90382745e+01 -5.76636718e-01  1.83753724e+05 
 4.00000000e-02  3.99999996e-02  2.85850828e-12  2.85850828e+00  2.52306229e+01  1.90432771e+01 -5.66636718e-01  2.36411766e+05 
 5.00000000e-02  4.99999994e-02  3.67883872e-12  3.67883872e+00  2.52287847e+01  1.90482457e+01 -5.56636718e-01  3.04020137e+05 
 6.00000000e-02  5.99999993e-02  4.73449361e-12  4.73449361e+00  2.52267004e+01  1.90531752e+01 -5.46636718e-01  3.90776130e+05 
 7.00000000e-02  6.99999991e-02  6.09293683e-12  6.09293683e+00  2.52243374e+01  1.90580602e+01 -5.36636718e-01  5.02039662e+05 
 8.00000000e-02  7.99999988e-02  7.84095355e-12  7.84095355e+00  2.52216586e+01  1.90628942e+01 -5.26636719e-01  6.44650185e+05 
 9.00000000e-02  8.99999984e-02  1.00901748e-11  1.00901748e+01  2.52186220e+01  1.90676701e+01 -5.16636719e-01  8.27328354e+05 
 1.00000000e-01  9.99999980e-02  1.29841777e-11  1.29841777e+01  2.52151804e+01  1.90723798e+01 -5.06636720e-01  1.06118464e+06 
 1.10000000e-01  1.09999997e-01  1.67076084e-11  1.67076084e+01  2.52112801e+01  1.90770142e+01 -4.96636720e-01  1.36036269e+06 
 1.20000000e-01  1.19999997e-01  2.14979020e-11  2.14979020e+01  2.52068606e+01  1.90815630e+01 -4.86636721e-01  1.74285238e+06 
 1.30000000e-01  1.29999996e-01  2.76603341e-11  2.76603341e+01  2.52018536e+01  1.90860145e+01 -4.76636722e-01  2.23151616e+06 
 1.40000000e-01  1.39999995e-01  3.55873463e-11  3.55873463e+01  2.51961820e+01  1.90903556e+01 -4.66636724e-01  2.85538338e+06 
 1.50000000e-01  1.49999993e-01  4.57833483e-11  4.57833483e+01  2.51897589e+01  1.90945715e+01 -4.56636726e-01  3.65128070e+06 
 1.60000000e-01  1.59999991e-01  5.88965410e-11  5.88965410e+01  2.51824863e+01  1.90986456e+01 -4.46636728e-01  4.66588367e+06 
 1.70000000e-01  1.69999988e-01  7.57597256e-11  7.57597256e+01  2.51742540e+01  1.91025592e+01 -4.36636732e-01  5.95829532e+06 
 1.80000000e-01  1.79999985e-01  9.74426146e-11  9.74426146e+01  2.51649382e+01  1.91062914e+01 -4.26636736e-01  7.60328319e+06 
 1.90000000e-01  1.89999981e-01  1.25318847e-10  1.25318847e+02  2.51543995e+01  1.91098186e+01 -4.16636741e-01  9.69533806e+06 
 2.00000000e-01  1.99999975e-01  1.61151789e-10  1.61151789e+02  2.51424821e+01  1.91131147e+01 -4.06636748e-01  1.23537564e+07 
 2.10000000e-01  2.09999968e-01  2.07204312e-10  2.07204312e+02  2.51290111e+01  1.91161504e+01 -3.96636756e-01  1.57289959e+07 
 2.20000000e-01  2.19999959e-01  2.66379126e-10  2.66379126e+02  2.51137914e+01  1.91188931e+01 -3.86636768e-01  2.00106117e+07 
 2.30000000e-01  2.29999947e-01  3.42398039e-10  3.42398039e+02  2.50966051e+01  1.91213068e+01 -3.76636782e-01  2.54371514e+07 
 2.40000000e-01  2.39999932e-01  4.40030681e-10  4.40030681e+02  2.50772102e+01  1.91233515e+01 -3.66636800e-01  3.23084703e+07 
 2.50000000e-01  2.49999913e-01  5.65386040e-10  5.65386040e+02  2.50553378e+01  1.91249834e+01 -3.56636824e-01  4.10010342e+07 
 2.60000000e-01  2.59999888e-01  7.26283578e-10  7.26283578e+02  2.50306910e+01  1.91261544e+01 -3.46636854e-01  5.19868930e+07 
 2.70000000e-01  2.69999856e-01  9.32725006e-10  9.32725006e+02  2.50029425e+01  1.91268123e+01 -3.36636893e-01  6.58571594e+07 
 2.80000000e-01  2.79999815e-01  1.19749305e-09  1.19749305e+03  2.49717332e+01  1.91269006e+01 -3.26636943e-01  8.33509910e+07 
 2.90000000e-01  2.89999763e-01  1.53691011e-09  1.53691011e+03  2.49366716e+01  1.91263589e+01 -3.16637008e-01  1.05391275e+08 
 3.00000000e-01  2.99999695e-01  1.97179760e-09  1.97179760e+03  2.48973328e+01  1.91251232e+01 -3.06637090e-01  1.33128441e+08 
 3.10000000e-01  3.09999609e-01  2.52868647e-09  2.52868647e+03  2.48532594e+01  1.91231268e+01 -2.96637195e-01  1.67994091e+08 
 3.20000000e-01  3.19999499e-01  3.24134114e-09  3.24134114e+03  2.48039627e+01  1.91203013e+01 -2.86637330e-01  2.11766416e+08 
 3.30000000e-01  3.29999359e-01  4.15267285e-09  4.15267285e+03  2.47489264e+01  1.91165784e+01 -2.76637502e-01  2.66649720e+08 
 3.40000000e-01  3.39999179e-01  5.31713533e-09  5.31713533e+03  2.46876115e+01  1.91118921e+01 -2.66637722e-01  3.35370705e+08 
 3.50000000e-01  3.49998949e-01  6.80371511e-09  6.80371511e+03  2.46194637e+01  1.91061822e+01 -2.56638003e-01  4.21294587e+08 
 3.60000000e-01  3.59998656e-01  8.69965184e-09  8.69965184e+03  2.45439242e+01  1.90993982e+01 -2.46638361e-01  5.28564549e+08 
 3.70000000e-01  3.69998283e-01  1.11150507e-08  1.11150507e+04  2.44604434e+01  1.90915049e+01 -2.36638817e-01  6.62268517e+08 
 3.80000000e-01  3.79997809e-01  1.41885801e-08  1.41885801e+04  2.43684990e+01  1.90824896e+01 -2.26639398e-01  8.28637822e+08 
 3.90000000e-01  3.89997205e-01  1.80944834e-08  1.80944834e+04  2.42676176e+01  1.90723704e+01 -2.16640136e-01  1.03528299e+09 
 4.00000000e-01  3.99996440e-01  2.30511748e-08  2.30511748e+04  2.41574008e+01  1.90612069e+01 -2.06641072e-01  1.29147274e+09 
 4.10000000e-01  4.09995470e-01  2.93317393e-08  2.93317393e+04  2.40375549e+01  1.90491125e+01 -1.96642259e-01  1.60846348e+09 
 4.20000000e-01  4.19994242e-01  3.72767102e-08  3.72767102e+04  2.39079234e+01  1.90362687e+01 -1.86643760e-01  1.99988801e+09 
 4.30000000e-01  4.29992693e-01  4.73095710e-08  4.73095710e+04  2.37685190e+01  1.90229406e+01 -1.76645655e-01  2.48221429e+09 
 4.40000000e-01  4.39990740e-01  5.99555064e-08  5.99555064e+04  2.36195535e+01  1.90094925e+01 -1.66648044e-01  3.07528783e+09 
 4.50000000e-01  4.49988282e-01  7.58640299e-08  7.58640299e+04  2.34614593e+01  1.89964035e+01 -1.56651050e-01  3.80297432e+09 
 4.60000000e-01  4.59985198e-01  9.58362378e-08  9.58362378e+04  2.32948961e+01  1.89842783e+01 -1.46654823e-01  4.69392249e+09 
 4.70000000e-01  4.69981333e-01  1.20857578e-07  1.20857578e+05  2.31207352e+01  1.89738532e+01 -1.36659550e-01  5.78246975e+09 
 4.80000000e-01  4.79976502e-01  1.52137179e-07  1.52137179e+05  2.29400111e+01  1.89659906e+01 -1.26665459e-01  7.10971245e+09 
 4.90000000e-01  4.89970475e-01  1.91154916e-07  1.91154916e+05  2.27538329e+01  1.89616593e+01 -1.16672830e-01  8.72475650e+09 
 5.00000000e-01  4.99962975e-01  2.39717498e-07  2.39717498e+05  2.25632473e+01  1.89618951e+01 -1.06682005e-01  1.06861469e+10 
 5.10000000e-01  5.09953660e-01  3.00024770e-07  3.00024770e+05  2.23690527e+01  1.89677387e+01 -9.66933981e-02  1.30634410e+10 
 5.20000000e-01  5.19942119e-01  3.74747144e-07  3.74747144e+05  2.21715722e+01  1.89801498e+01 -8.67075146e-02  1.59388355e+10 
 5.30000000e-01  5.29927852e-01  4.67114320e-07  4.67114320e+05  2.19704036e+01  1.89999007e+01 -7.67249646e-02  1.94086744e+10 
